Sample ID,StationCode,Sample Date,Analyte,Result,Units,Method ID,DetectLimit,Temp,Remarks,footer
WQ1035,S013,2025-10-08,Nitrate as N,~1.38,mg/L,ISO 7027,0.17,12.4 C,matrix spike,
WQ1036,S002,2025-10-18,Nitrate as N,<467.16,ug/L,ISO 7027,0.14,58.4 F,field blank,
WQ1037,S015,20-Oct-2025,Turbidity,2378.23,ug/L,EPA 300.0,0.07,71.6 F,matrix spike,
WQ1038,S009,2025-10-25,Ammonium,<815.44,ug/L,EPA 365.1,0.08,69.8 F,field blank,
WQ1039,S011,11-Oct-2025,Nitrate as N,<0.31,mg/L,EPA 365.1,0.19,6.0 C,,
WQ1040,S014,10/14/2025,Turbidity,~2428.01,ug/L,ISO 7027,0.14,21.6 C,,
WQ1041,S013,2025-10-16,Ammonium,~469.70,ug/L,ISO 7027,0.05,67.0 F,duplicate sample,
WQ1042,S999,10/08/2025,Chloride,3872.32,ug/L,EPA 300.0,0.04,47.8 F,duplicate sample,
WQ1043, S015,2025-10-30,Turbidity,~2.40,mg/L,EPA 300.0,0.11,24.6 C,duplicate sample,
WQ1044,S002,10/09/2025,Ammonium,~2.06,mg/L,SM 4500-NH3,0.05,72.6 F,matrix spike,
WQ1045,S009,2025-10-27,Chloride,2.50,mg/L,SM 4500-NO3,0.14,9.9 C,,
WQ1046,S001,2025-10-08,Nitrate as N,<0.63,mg/L,EPA 365.1,0.18,12.5 C,matrix spike,
WQ1047,S009,10/25/2025,PHOSPHATE AS P,<0.63,mg/L,SM 4500-NH3,0.19,71.4 F, ,
WQ1048,S013,13-Oct-2025,Phosphate as P,2.65,mg/L,ISO 7027,0.08,16.2 C,,
WQ1049, S002,12-Oct-2025,Chloride,3102.69,ug/L,EPA 300.0,0.19,74.7 F,,
WQ1050,S014,12-Oct-2025,Chloride,~1.01,mg/L,SM 4500-NH3,0.1,14.2 C, ,
WQ1051,S999,10/15/2025,TURBIDITY,ND,ug/L,EPA 300.0,0.04,24.9 C,duplicate sample,
WQ1052,S015,19-Oct-2025,Chloride,1995.14,ug/L,EPA 365.1,0.08,46.0 F,field blank,
WQ1053,S009,10/11/2025,Turbidity,1616.68,ug/L,EPA 365.1,0.15,19.6 C,matrix spike,
WQ1054, S999,2025-10-18,Chloride,~2418.12,ug/L,EPA 365.1,0.13,14.7 C,field blank,
WQ1055,S012,16-Oct-2025,Turbidity,~113.47,ug/L,SM 4500-NH3,0.12,48.7 F,field blank,
WQ1056,S008,04-Oct-2025,Phosphate as P,1988.56,ug/L,SM 4500-NH3,0.09,23.0 C, ,
WQ1057,S010,2025-10-04,Ammonium,ND,mg/L,EPA 365.1,0.13,11.4 C,field blank,
WQ1058,S002,02-Oct-2025,Ammonium,~2.85,mg/L,EPA 300.0,0.1,8.8 C,matrix spike,
WQ1059,S015,2025-10-11,Nitrate as N,~2394.34,ug/L,SM 4500-NO3,0.16,16.0 C, ,
WQ1060,S002,2025-10-05,Turbidity,216.75,ug/L,ISO 7027,0.15,22.6 C, ,
WQ1061,S008,25-Oct-2025,Chloride,~1756.87,ug/L,SM 4500-NH3,0.07,75.2 F, ,
WQ1062,S002,20-Oct-2025,Nitrate as N,<1.24,mg/L,EPA 365.1,0.02,76.3 F, ,
WQ1063,S003,2025-10-06,Chloride,3546.54,ug/L,SM 4500-NH3,0.05,50.8 F,matrix spike,
WQ1064,S003,2025-10-22,Ammonium,~1.89,mg/L,SM 4500-NH3,0.08,11.8 C,duplicate sample,
WQ1065,S003,2025-10-02,Ammonium,~250.93,ug/L,EPA 300.0,0.19,21.7 C,field blank,
WQ1066,S999,2025-10-15,TURBIDITY,~0.85,mg/L,EPA 365.1,0.07,48.8 F, ,
WQ1067,S001,25-Oct-2025,Ammonium,<1.02,mg/L,SM 4500-NH3,0.17,51.4 F,duplicate sample,
WQ1068,S014,10/21/2025,Nitrate as N,ND,ug/L,EPA 365.1,0.07,60.1 F,field blank,
WQ1069,S014,10/23/2025,Ammonium,1271.82,ug/L,SM 4500-NH3,0.06,12.8 C,,
WQ1070,S013,28-Oct-2025,Nitrate as N,~1267.05,ug/L,EPA 300.0,0.13,4.1 C,matrix spike,
WQ1071,S002,10/07/2025,Turbidity,ND,mg/L,SM 4500-NO3,0.02,46.5 F, ,
WQ1072, S008,2025-10-23,Ammonium,1.44,mg/L,SM 4500-NO3,0.02,72.7 F,matrix spike,
WQ1073,S004,2025-10-21,Chloride,1872.27,ug/L,EPA 300.0,0.09,61.1 F,duplicate sample,
WQ1074,S015,2025-10-18,Chloride,0.80,mg/L,EPA 300.0,0.2,7.3 C,field blank,
WQ1075,S009,2025-10-27,Ammonium,3201.38,ug/L,EPA 300.0,0.17,70.9 F,field blank,
WQ1076,S011,18-Oct-2025,Chloride,ND,ug/L,EPA 300.0,0.17,10.9 C,duplicate sample,
WQ1077,S014,10/02/2025,CHLORIDE,~119.69,ug/L,ISO 7027,0.19,9.7 C, ,
WQ1078, S011,2025-10-28,Chloride,3.21,mg/L,EPA 365.1,0.09,46.5 F,,
WQ1079,S999,10/26/2025,Ammonium,1848.76,ug/L,EPA 300.0,0.04,65.6 F,field blank,
WQ1080,S999,28-Oct-2025,Nitrate as N,<0.21,mg/L,EPA 300.0,0.06,67.3 F,,
WQ1081,S004,2025-10-15,Ammonium,0.01,mg/L,SM 4500-NH3,0.03,46.2 F,matrix spike,
WQ1082, S005,08-Oct-2025,Chloride,<1.13,mg/L,ISO 7027,0.18,5.2 C,duplicate sample,
WQ1083,S999,30-Oct-2025,Phosphate as P,~1.32,mg/L,EPA 300.0,0.06,55.9 F,field blank,
WQ1084,S006,10/03/2025,Ammonium,~2183.86,ug/L,EPA 300.0,0.13,58.7 F,matrix spike,
WQ1085,S004,10/08/2025,Turbidity,2577.90,ug/L,EPA 300.0,0.15,55.7 F,field blank,
WQ1086,S001,19-Oct-2025,Nitrate as N,ND,ug/L,EPA 365.1,0.03,7.3 C, ,
WQ1087,S009,22-Oct-2025,PHOSPHATE AS P,1.41,mg/L,SM 4500-NH3,0.03,52.1 F,duplicate sample,
WQ1088,S003,10/30/2025,Ammonium,<515.80,ug/L,SM 4500-NH3,0.04,24.6 C, ,
WQ1089,S009,2025-10-27,Ammonium,ND,ug/L,SM 4500-NO3,0.16,39.8 F,duplicate sample,
WQ1090, S008,28-Oct-2025,Chloride,1450.75,ug/L,EPA 300.0,0.13,56.8 F,field blank,
WQ1091, S009,10/19/2025,Ammonium,<0.93,mg/L,ISO 7027,0.19,41.0 F,field blank,
WQ1092,S008,2025-10-21,Chloride,~1675.60,ug/L,SM 4500-NH3,0.19,4.3 C,matrix spike,
WQ1093,S004,2025-10-04,Turbidity,~2.52,mg/L,ISO 7027,0.11,58.1 F,matrix spike,
WQ1094,S005,10/29/2025,Nitrate as N,2972.63,ug/L,SM 4500-NH3,0.19,74.9 F,duplicate sample,
WQ1095, S015,2025-10-15,Ammonium,ND,mg/L,SM 4500-NO3,0.13,72.0 F,matrix spike,
WQ1096,S003,2025-10-22,Turbidity,2.61,mg/L,ISO 7027,0.03,60.9 F,duplicate sample,
WQ1097,S003,27-Oct-2025,Phosphate as P,<0.91,mg/L,ISO 7027,0.17,69.9 F,,
WQ1098,S009,2025-10-28,PHOSPHATE AS P,<941.11,ug/L,SM 4500-NO3,0.05,17.7 C,field blank,
WQ1099,S008,10/19/2025,Nitrate as N,ND,mg/L,SM 4500-NO3,0.05,9.8 C,,
WQ1100,S999,10/15/2025,TURBIDITY,~1.58,mg/L,ISO 7027,0.07,17.0 C,field blank,
WQ1101,S015,2025-10-21,Nitrate as N,~1888.58,ug/L,EPA 300.0,0.08,64.0 F,,
WQ1102,S003,11-Oct-2025,Phosphate as P,<0.26,mg/L,SM 4500-NH3,0.1,49.1 F,matrix spike,
WQ1103,S010,15-Oct-2025,Turbidity,3281.92,ug/L,ISO 7027,0.08,18.6 C,duplicate sample,
WQ1104,S014,2025-10-15,CHLORIDE,~2448.65,ug/L,EPA 300.0,0.09,59.9 F,field blank,
WQ1105, S009,2025-10-12,CHLORIDE,1.92,mg/L,SM 4500-NH3,0.12,15.9 C,duplicate sample,
WQ1106,S002,19-Oct-2025,Turbidity,1384.75,ug/L,EPA 300.0,0.12,48.7 F,,
WQ1107,S010,10/20/2025,Ammonium,2.38,mg/L,SM 4500-NO3,0.12,22.2 C,field blank,
WQ1108,S012,10/04/2025,Turbidity,~2.76,mg/L,SM 4500-NH3,0.06,19.5 C,,
WQ1109,S006,09-Oct-2025,Ammonium,ND,ug/L,EPA 300.0,0.11,11.9 C,,
WQ1110,S005,24-Oct-2025,Nitrate as N,0.46,mg/L,EPA 365.1,0.03,10.3 C,field blank,
WQ1111,S010,10/24/2025,Turbidity,1.92,mg/L,SM 4500-NO3,0.19,5.1 C,field blank,
WQ1112,S015,10/22/2025,Chloride,~1588.71,ug/L,SM 4500-NH3,0.14,75.4 F,matrix spike,
WQ1113, S004,10-Oct-2025,Turbidity,2984.02,ug/L,ISO 7027,0.1,57.4 F,,
WQ1114,S001,10/07/2025,PHOSPHATE AS P,ND,mg/L,EPA 300.0,0.19,47.2 F,duplicate sample,
WQ1115,S005,13-Oct-2025,PHOSPHATE AS P,4143.21,ug/L,SM 4500-NO3,0.03,68.7 F,matrix spike,
WQ1116,S003,10/28/2025,Turbidity,2324.52,ug/L,SM 4500-NO3,0.19,65.9 F,matrix spike,
WQ1117,S001,2025-10-11,Turbidity,ND,ug/L,EPA 300.0,0.17,18.4 C, ,
WQ1118,S013,2025-10-17,Chloride,ND,ug/L,ISO 7027,0.05,12.9 C,,
WQ1119,S007,10/29/2025,Ammonium,<0.62,mg/L,ISO 7027,0.18,12.3 C,duplicate sample,
,,,,,,,,,,End of File
